Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_TC,Chrome 121.0.0.0,,,02-02-2024 10:33:13,02-02-2024 10:43:20,10m - 6.312s,FAILED
,,,,,,,
Test Cases/CHS/TC_CHS_Appointment_001,Chrome 121.0.0.0,,,02-02-2024 10:33:14,02-02-2024 10:33:42,28.228s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 10:33:14,02-02-2024 10:33:14,0.128s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 10:33:14,02-02-2024 10:33:15,1.402s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 10:33:15,02-02-2024 10:33:32,16.841s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:33:32,02-02-2024 10:33:33,1.055s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 10:33:33,02-02-2024 10:33:34,0.673s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 10:33:34,02-02-2024 10:33:34,0.278s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 10:33:34,02-02-2024 10:33:35,1.287s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,02-02-2024 10:33:35,02-02-2024 10:33:36,0.993s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,02-02-2024 10:33:36,02-02-2024 10:33:36,0.260s,PASSED
"verifyElementChecked(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/input_hospital_readmission""), 0)",Chrome 121.0.0.0,,,02-02-2024 10:33:36,02-02-2024 10:33:37,0.239s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 10:33:37,02-02-2024 10:33:37,0.251s,PASSED
"verifyElementClickable(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 10:33:37,02-02-2024 10:33:37,0.239s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,02-02-2024 10:33:37,02-02-2024 10:33:37,0.270s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/th_""))",Chrome 121.0.0.0,,,02-02-2024 10:33:37,02-02-2024 10:33:38,0.484s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/td_29""))",Chrome 121.0.0.0,,,02-02-2024 10:33:38,02-02-2024 10:33:38,0.473s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test"")",Chrome 121.0.0.0,,,02-02-2024 10:33:38,02-02-2024 10:33:39,0.727s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:33:39,02-02-2024 10:33:41,2.093s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 121.0.0.0,,,02-02-2024 10:33:41,02-02-2024 10:33:42,0.393s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 10:33:42,02-02-2024 10:33:42,0.085s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 10:33:42,02-02-2024 10:33:42,0.019s,ERROR
,,,,,,,
Test Cases/CHS/TC_CHS_Login_001,Chrome 121.0.0.0,,,02-02-2024 10:33:42,02-02-2024 10:34:26,44.746s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 10:33:42,02-02-2024 10:33:42,0.014s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 10:33:42,02-02-2024 10:33:43,1.004s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 10:33:43,02-02-2024 10:34:13,30.233s,PASSED
"click(findTestObject(""Object Repository/CHS_DD_Login_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,02-02-2024 10:34:13,02-02-2024 10:34:13,0.308s,PASSED
"click(findTestObject(""Object Repository/CHS_DD_Login_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,02-02-2024 10:34:13,02-02-2024 10:34:15,1.944s,PASSED
"setText(findTestObject(""Object Repository/CHS_DD_Login_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 10:34:15,02-02-2024 10:34:16,0.552s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_DD_Login_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 10:34:16,02-02-2024 10:34:16,0.272s,PASSED
"click(findTestObject(""Object Repository/CHS_DD_Login_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 10:34:16,02-02-2024 10:34:26,9.817s,PASSED
"verifyElementPresent(findTestObject(""CHS_Login_OR/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 121.0.0.0,,,02-02-2024 10:34:26,02-02-2024 10:34:26,0.461s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 10:34:26,02-02-2024 10:34:26,0.098s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 10:34:26,02-02-2024 10:34:26,0.021s,ERROR
,,,,,,,
Test Cases/CHS/TC_CHS_Launch_001,Chrome 121.0.0.0,,,02-02-2024 10:38:45,02-02-2024 10:40:16,1m - 30.213s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 10:38:45,02-02-2024 10:39:22,36.082s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 10:39:22,02-02-2024 10:39:23,1.319s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 10:39:23,02-02-2024 10:39:39,16.228s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), 0)",Chrome 121.0.0.0,,,02-02-2024 10:39:39,02-02-2024 10:39:40,0.723s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 10:39:40,02-02-2024 10:40:16,35.842s,ERROR
,,,,,,,
Test Cases/CHS/TC_CHS_Logout_001,Chrome 121.0.0.0,,,02-02-2024 10:40:16,02-02-2024 10:41:26,1m - 10.512s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 10:40:16,02-02-2024 10:40:52,35.899s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 10:40:52,02-02-2024 10:40:53,1.007s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 10:40:53,02-02-2024 10:41:09,16.191s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:41:09,02-02-2024 10:41:10,0.937s,PASSED
"setText(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 10:41:10,02-02-2024 10:41:10,0.719s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 10:41:10,02-02-2024 10:41:11,0.301s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 10:41:11,02-02-2024 10:41:13,2.095s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,02-02-2024 10:41:13,02-02-2024 10:41:14,1.005s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 10:41:14,02-02-2024 10:41:14,0.258s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,02-02-2024 10:41:14,02-02-2024 10:41:14,0.258s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/th_""))",Chrome 121.0.0.0,,,02-02-2024 10:41:14,02-02-2024 10:41:15,0.485s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/td_29""))",Chrome 121.0.0.0,,,02-02-2024 10:41:15,02-02-2024 10:41:15,0.463s,PASSED
"setText(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test"")",Chrome 121.0.0.0,,,02-02-2024 10:41:15,02-02-2024 10:41:16,0.736s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:41:16,02-02-2024 10:41:19,3.369s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,02-02-2024 10:41:19,02-02-2024 10:41:20,0.499s,PASSED
"click(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 121.0.0.0,,,02-02-2024 10:41:20,02-02-2024 10:41:26,5.864s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CHS_Logout_OR/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), 0)",Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:41:26,0.249s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:41:26,0.112s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:41:26,0.014s,ERROR
,,,,,,,
Test Cases/CHS/TC_CHS_History_001,Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:43:20,1m - 53.564s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:41:26,0.011s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 10:41:26,02-02-2024 10:41:27,0.699s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 10:41:27,02-02-2024 10:42:24,57.133s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:42:24,02-02-2024 10:42:26,1.919s,PASSED
"setText(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 10:42:26,02-02-2024 10:42:27,0.597s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 10:42:27,02-02-2024 10:42:27,0.265s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 10:42:27,02-02-2024 10:42:31,4.509s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,02-02-2024 10:42:31,02-02-2024 10:42:32,0.953s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,02-02-2024 10:42:32,02-02-2024 10:42:33,0.247s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 10:42:33,02-02-2024 10:42:33,0.249s,PASSED
"verifyElementClickable(findTestObject(""CHS_History_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 10:42:33,02-02-2024 10:42:33,0.236s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,02-02-2024 10:42:33,02-02-2024 10:42:33,0.265s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/th_""))",Chrome 121.0.0.0,,,02-02-2024 10:42:33,02-02-2024 10:42:34,0.468s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/td_29""))",Chrome 121.0.0.0,,,02-02-2024 10:42:34,02-02-2024 10:42:34,0.470s,PASSED
"setText(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test"")",Chrome 121.0.0.0,,,02-02-2024 10:42:34,02-02-2024 10:42:35,0.711s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,02-02-2024 10:42:35,02-02-2024 10:42:50,14.637s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,02-02-2024 10:42:50,02-02-2024 10:42:50,0.489s,PASSED
"click(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/a_History""))",Chrome 121.0.0.0,,,02-02-2024 10:42:50,02-02-2024 10:43:19,29.082s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CHS_History_OR/Page_CURA Healthcare Service/div_29022024""), 0)",Chrome 121.0.0.0,,,02-02-2024 10:43:19,02-02-2024 10:43:20,0.463s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 10:43:20,02-02-2024 10:43:20,0.115s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 10:43:20,02-02-2024 10:43:20,0.013s,ERROR
