Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_DDT_Appointment_Facility,Chrome 121.0.0.0,,,02-02-2024 16:44:41,02-02-2024 16:45:20,38.351s,PASSED
,,,,,,,
Test Cases/CHS_Data Driven Test/TC_CHS_Appointment_001,Chrome 121.0.0.0,,,02-02-2024 16:44:41,02-02-2024 16:44:55,13.398s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 16:44:41,02-02-2024 16:44:42,0.136s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 16:44:42,02-02-2024 16:44:43,1.682s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 16:44:43,02-02-2024 16:44:47,3.544s,PASSED
"click(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 16:44:47,02-02-2024 16:44:47,0.696s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 16:44:47,02-02-2024 16:44:48,0.823s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 16:44:48,02-02-2024 16:44:49,0.286s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 16:44:49,02-02-2024 16:44:49,0.899s,PASSED
"selectOptionByLabel(findTestObject(""CHS_DD_Appointment_OR/Page_CURA Healthcare Service/Facility Element""), Facility, false)",Chrome 121.0.0.0,,,02-02-2024 16:44:49,02-02-2024 16:44:50,0.722s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,02-02-2024 16:44:50,02-02-2024 16:44:50,0.264s,PASSED
"verifyElementChecked(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/input_hospital_readmission""), 0)",Chrome 121.0.0.0,,,02-02-2024 16:44:50,02-02-2024 16:44:51,0.236s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 16:44:51,02-02-2024 16:44:51,0.264s,PASSED
"verifyElementClickable(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 16:44:51,02-02-2024 16:44:51,0.241s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,02-02-2024 16:44:51,02-02-2024 16:44:51,0.267s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/th_""))",Chrome 121.0.0.0,,,02-02-2024 16:44:51,02-02-2024 16:44:52,0.492s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/td_29""))",Chrome 121.0.0.0,,,02-02-2024 16:44:52,02-02-2024 16:44:52,0.487s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test"")",Chrome 121.0.0.0,,,02-02-2024 16:44:52,02-02-2024 16:44:53,0.744s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,02-02-2024 16:44:53,02-02-2024 16:44:54,0.948s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 121.0.0.0,,,02-02-2024 16:44:54,02-02-2024 16:44:55,0.490s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:44:55,0.093s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:44:55,0.018s,ERROR
,,,,,,,
Test Cases/CHS_Data Driven Test/TC_CHS_Appointment_001,Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:45:08,13.612s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:44:55,0.013s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:44:55,0.659s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 16:44:55,02-02-2024 16:44:59,3.400s,PASSED
"click(findTestObject(""CHS_Appointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 16:44:59,02-02-2024 16:45:00,0.711s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 16:45:00,02-02-2024 16:45:00,0.699s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 16:45:00,02-02-2024 16:45:01,0.266s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 16:45:01,02-02-2024 16:45:02,1.897s,PASSED
