Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_Checkpoint_Appointment,Chrome 121.0.0.0,,,02-02-2024 16:48:52,02-02-2024 16:49:06,13.951s,PASSED
,,,,,,,
Test Cases/CHS_Checkpoint/TC_CHS_Appointment_001,Chrome 121.0.0.0,,,02-02-2024 16:48:52,02-02-2024 16:49:06,13.887s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 16:48:52,02-02-2024 16:48:52,0.146s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 16:48:52,02-02-2024 16:48:54,1.934s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 16:48:54,02-02-2024 16:48:58,3.564s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 16:48:58,02-02-2024 16:48:58,0.692s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,02-02-2024 16:48:58,02-02-2024 16:48:59,0.713s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,02-02-2024 16:48:59,02-02-2024 16:48:59,0.288s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 16:48:59,02-02-2024 16:49:00,1.065s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,02-02-2024 16:49:00,02-02-2024 16:49:01,1.014s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/CHS_Checkpoint Facility Internal/CHS_Checkpoint_Facilty_Internal""), false)",Chrome 121.0.0.0,,,02-02-2024 16:49:01,02-02-2024 16:49:01,0.025s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,02-02-2024 16:49:01,02-02-2024 16:49:02,0.257s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,02-02-2024 16:49:02,02-02-2024 16:49:02,0.249s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,02-02-2024 16:49:02,02-02-2024 16:49:02,0.274s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/th_""))",Chrome 121.0.0.0,,,02-02-2024 16:49:02,02-02-2024 16:49:03,0.490s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/td_29""))",Chrome 121.0.0.0,,,02-02-2024 16:49:03,02-02-2024 16:49:03,0.491s,PASSED
"setText(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test"")",Chrome 121.0.0.0,,,02-02-2024 16:49:03,02-02-2024 16:49:04,0.740s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,02-02-2024 16:49:04,02-02-2024 16:49:05,1.312s,PASSED
"click(findTestObject(""Object Repository/CHS_Appointment_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 121.0.0.0,,,02-02-2024 16:49:05,02-02-2024 16:49:06,0.480s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 16:49:06,02-02-2024 16:49:06,0.091s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,02-02-2024 16:49:06,02-02-2024 16:49:06,0.019s,ERROR
